Ken looked after an important service ticket within minutes ..thanks Ken!,,,1
Thanks Paul!,,,1
My experience was great because of Lindsey!,,,1
Problem got solved :),,,1
Yuri resolved the problem very quickly. Thanks.,,,1
You guys are always super-helpful - and fast! And the online ticketing couldn't be easier to use - it's great! Thanks!,,,1
Aina took the time to figure out what I needed and made my picture editing world sooo much easier :),,,1
you da best,,,1
My concern was resolved fairly efficiently and effectively.  There are a number of emails that come with the new process in place - not sure they are all needed?,,,1
Lindsay  took care of in a timely fashion and sent out the staff email required - all done as requested!! Thanks Lindsay!,,,1
handled promptly and correctly! awesome!,,,1
Getting tired of having to get this done once a month.... This time it took an extra day to make a 5 minute fix. Today it was fixed quickly though.,,,0
Problem is not solved,,,0
Connor always looks into things and sorts out as quickly as possible.  He never makes you feel stupid! :)   HAA,,,1
"Yuri followed up right away and solved the problem, even though I couldn't seem to enter the password correctly (giant fingers, obviously).",,,1
very prompt service and friendly help,,,1
thank you for the quick response:),,,1
"Paul helped me out first thing this morning, was a great help",,,1
Connor is da bomb and fixed this right away and promptly. Even had a nice little chat afterwards. Much good. Very Appreciate. =),,,1
It was fixed quickly,,,1
The problem has been solved.  Thanks help desk Kulsum Chaudhry,,,1
Quick response!,,,1
"He  always find a way to help me! for that, thank you so much",,,1
Eddy was knowledgeable and polite. Resolved the problem quickly.,,,1
Always nice to talk with everyone there. All my issues alway get resolved.,,,1
thank you for the call Corina - James!,,,1
Fast and completed correctly.,,,1
Very fast response time on this one.,,,1
Within 30 min you had resolved the issue and I was able to work again. Thank you.,,,1
My issue was addressed quickly. Yuri is always friendly and I appreciated his help.,,,1
Eddy was quick and efficient in locating and restoring my docs.  So happy to see them.,,,1
"the ghost left the building once Clayton arrived. As is typical, the issue haunted me all morning, and I mean all morning. Screen blacking out on/off randomly.  Went for lunch break.  Came back, and it's not acted up once.  I knew Clayton must have arrived, as like a car, the monitors ceased to act up. Been 2.5 hrs. and nothing!  I will be monitoring this situation and hope it's all good to go. Clayton tried a couple items just to be on the safe side. Fingers crossed the ghost is gone. cheers, Beverly",,,1
Jason took care of it quickly.  D,,,1
Thank you for the quick respond and great service- Ewa,,,1
Clayton was very quick he did a good job!,,,1
Darren did a great job - got everything up and running in time for our training and even laughed at my corny jokes  :n),,,1
Travis has been great.  I know the problem is bigger than just me.,,,0
Jason Grilo was quick to respond to my request and found a solution that met the needs of the business.,,,1
thanks for the quick service Paul!,,,1
Thank you!,,,1
quick response,,,1
Quick and efficient service Great work Ken,,,1
Thanks for getting on top it of it so quickly!,,,1
Archie did a great job for us!!!,,,1
My request was handled the same day I submitted it.,,,1
Thank you.,,,1
"Corina was professional, courteous and helpful while working to solve my issue. It took some time as it was more involved than first expected since Microsoft downloads were required to update my computer.  She worked in the background allowing me to continue working with as little interruption as possible.  Thanks Gord",,,1
Just wanted to provide some quick feedback for Jacob on this ticket - he was able to fix the original issue I submitted the ticket regarding very quickly and also took some extra time in fixing additional issues he identified when working on my computer. This probably saved me from having to submit other tickets in the future while also getting me back up and running really quickly.   Thanks!,,,1
Manuel resolved quickly.,,,1
Problem resolved. !!,,,1
Fixed my problem in a timely manor,,,1
Thanks Aina :),,,1
Jason got me set up in just a few minutes - everything is working great!,,,1
Response time was very good.,,,1
"It looked like it may be working yesterday, but now the computer they were trying to fix won't print or access emails.",,,0
"I will need assistance to archive, thank you.",,,0
Thanks Manny!!,,,1
"Quick resolution, especially since Manny had to track me down at one particular site while I was there to do the fix.  Thanks!",,,1
Thanks for the quick response!,,,1
of the great IT staff here at Central services.,,,1
Yuri jump right to my aid. I couldn't possibly be more thanful :),,,1
I was able to access SALTO soon after I put in the e mail. Thanks Kulsum Chaudhry,,,1
The IT persons listened to my issue and acknowledged that it was an issue (rather than passing the issue off as a non-starter).,,,1
It took way less time than I thought it would,,,1
Paul was very knowledgeable and solved my issues/problem quickly,,,1
"Thank you Yuri,   You're help was quick and efficient.",,,1
Todd found the missing files. Hurray!!!!,,,1
Jacob provided probably the best service i've ever received from Solut,,,1
Manuel looked after things promptly & efficiently!  Excellent service!,,,1
Very fast response and easy fix. Thanks Paul!,,,1
Everything now works as it should,,,1
Lindsay was really patient :) thanks!,,,1
Thank you for the follow up for the Keys Audit.,,,1
Thanks Yuri,,,1
"Came in to a new computer and no desktop configuration...within a very short time, I'm up and running and feeling comfortable again!  Thank you Yuri",,,1
Quick as always:):) thank you!!,,,1
The issue was dealt with quickly and was fixed right the first time.,,,1
Finally ! Thank you!,,,1
thanks Darren for the quick response,,,1
I WAS VERY PLEASED WITH THE LADIE WHO HELPED ME! SHE WAS VERY LOVELY AND HELPFUL :),,,1
Quick and Easy!,,,1
What would Summit do without Archie!,,,1
Solution works great,,,1
Thanks guys!  Always so prompt!,,,1
Quick and easy,,,1
Darren was very helpful and never gave up on the issue.,,,1
"Both Yuri and Manuel responded with different temporary passwords and I don't know which one is the right one, who did it first; obviously 2 tech were working on the same work request, which ends in a confusing result. Thanks!",,,0
Connor was very prompt on helping out!,,,1
Landon’s awesome!,,,1
"Victoria did this very promptly, much appreciated!",,,1
I was not provided by much detail on my request. I would be helpful to be told what to do with the email in question.,,,0
Good Job Boys!!!,,,1
Thanks Yuri for all your help! Much appreciated.,,,1
"Eddy was very helpful, I was able to clearly understand what he was explaining to me.",,,1
"Hi Manny,  Thanks.  I will reach out if I have any issues. Kulsum Chaudhry",,,1
The whole ticket seems to be as a result of the change that was initiated by Solut that we were not aware of - disappointing that we had to ask the questions to find out.,,,0
everyone was very helpful,,,1
Fast service,,,1
"Aina was very patient and helped me as quick as she could, also very friendly :)",,,1
Above and beyond was his motus operandi.,,,1
Aina was very helpful :),,,1
I think amazing people work at Solut :),,,1
Problem solved but it took too long to get escalated when the tech couldn't figure out the problem.,,,0
Victoria was quick and had everything changed out quickly.,,,1
Thanks helpdesk for responding so quickly to the call.  Kulsum Chaudhry,,,1
It took a long time for them to contact me and I was in need of my computer.,,,0
He was thorough and ensured all my concerns were addressed and didn't just change something and then leave with other things not working.  He worked hard to find solutions to my concerns!!  Thank you,,,1
Yuri was so patient with me.   He went above and beyond what I asked for.  Made my day easier!!!,,,1
